CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,18,2,5,5
7,17,2,1,1
1,17,1,1,1
1,17,4,1,1
1,17,1,1,1
3,16,1,1,1
2,16,3,1,1
2,16,1,5,5
1,16,5,1,1
1,16,7,1,1
1,16,2,6,6
2,15,1,4,4
1,15,1,1,1
1,15,2,5,5
5,14,4,2,2
5,14,7,1,1
2,14,3,1,1
2,14,14,1,1
1,14,2,1,1
1,14,3,1,1
1,14,3,11,11
1,14,5,1,1
1,14,2,3,3
1,14,1,3,3
27,13,1,2,2
24,13,3,2,2
7,13,5,2,2
6,13,4,2,2
3,13,4,1,1
2,13,1,3,3
2,13,2,3,3
2,13,3,1,1
2,13,5,1,1
2,13,7,3,3
1,13,1,4,4
1,13,3,1,1
1,13,1,1,1
1,13,3,1,1
1,13,1,1,1
1,13,1,7,7
1,13,4,3,3
8,12,3,1,1
7,12,1,1,1
7,12,1,1,1
4,12,4,2,2
3,12,3,1,1
2,12,1,1,1
2,12,1,1,1
2,12,2,1,1
2,12,5,1,1
2,12,3,1,1
2,12,10,2,2
2,12,4,1,1
1,12,1,1,1
1,12,1,1,1
1,12,1,1,1
1,12,2,1,1
1,12,10,1,1
1,12,4,1,1
1,12,2,1,1
1,12,3,2,2
1,12,1,5,5
1,12,1,1,1
1,12,4,3,3
1,12,5,4,4
1,12,8,3,3
1,12,2,6,6
22,11,1,2,2
15,11,1,1,1
11,11,1,1,1
10,11,3,4,4
9,11,1,1,1
9,11,2,1,1
8,11,1,1,1
5,11,3,2,2
5,11,4,6,6
4,11,2,1,1
4,11,2,1,1
4,11,1,1,1
3,11,3,7,7
3,11,3,1,1
3,11,3,3,3
3,11,11,1,1
3,11,1,1,1
3,11,4,1,1
3,11,9,1,1
2,11,2,1,1
2,11,2,7,7
2,11,2,2,2
2,11,1,4,4
2,11,1,1,1
1,11,1,1,1
1,11,1,1,1
1,11,1,1,1
1,11,2,1,1
1,11,1,5,5
1,11,2,2,2
1,11,2,1,1
1,11,2,2,2
1,11,2,2,2
1,11,2,3,3
1,11,3,2,2
1,11,8,4,4
1,11,4,1,1
1,11,2,1,1
1,11,4,1,1
1,11,1,2,2
1,11,6,5,5
1,11,11,3,3
1,11,10,2,2
1,11,4,1,1
1,11,1,1,1
1,11,6,1,1
1,11,3,1,1
1,11,6,4,4
1,11,1,2,2
1,11,3,1,1
1,11,5,1,1
1,11,1,1,1
1,11,1,1,1
1,11,1,2,2
1,11,2,2,2
1,11,2,1,1
1,11,3,1,1
1,11,3,1,1
1,11,1,1,1
1,11,2,1,1
1,11,1,1,1
1,11,2,1,1
1,11,3,5,5
1,11,2,7,7
1,11,1,5,5
1,11,12,3,3
1,11,1,1,1
8,10,1,1,1
6,10,1,1,1
6,10,5,2,2
6,10,1,5,5
6,10,1,2,2
5,10,2,1,1
4,10,3,6,6
4,10,2,2,2
4,10,3,1,1
4,10,2,1,1
3,10,6,1,1
3,10,2,1,1
3,10,1,1,1
3,10,3,2,2
3,10,2,2,2
3,10,10,4,4
3,10,1,4,4
2,10,3,1,1
2,10,1,1,1
2,10,3,3,3
2,10,3,1,1
2,10,3,1,1
2,10,6,2,2
2,10,1,1,1
