CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
12,3,439,1,1
7,1,303,131,1
2,14,216,1,1
1,6,215,2,5
1,32,212,3,66
1,7,195,1,121
1,3,182,1,18
1,16,178,3,3
16,13,169,13,5
1,1,167,2,6
1,1,162,67,2
1,189,161,1,1
1,1,157,1,25
1,3,156,1,2
10,2,154,2,1
51,3,146,1,37
2,14,142,1,6
6,43,141,8,49
1,15,141,6,4
1,1,141,2,4
1,1,141,1,1
162,1,139,8,1
32,12,138,1,6
2,1,136,16,43
29,3,135,1,2
77,8,133,1,6
1,63,129,477,27
1,1,129,18,4
1,4,127,1,32
9,13,127,66,1
4,6,126,1,42
2,27,126,2,1
11,2,125,3,1
1,12,125,1,1
3,66,124,2,1
34,3,123,1,4
14,19,123,261,1
2,43,121,5,226
1,1,118,1,1
1,1,117,9,56
1,3,117,6,22
1,1,116,3,3
8,110,115,1,21
2,22,115,2,4
1,1,112,106,5
1,29,112,4,1
1,2,111,1,33
1,1,111,1,1
15,1,110,4,108
5,1,110,3,8
1,6,110,3,1
1,4,109,2,37
1,9,109,1,8
2,1,108,4,1
1,4,106,1,1
7,1,106,1,1
4,1,105,1,27
12,4,104,14,25
4,6,103,5,1
11,1,102,1,38
1,1,102,2,4
1,2,102,11,1
1,1,101,5,94
36,1,101,9,5
7,1,97,74,42
1,1,96,1,4
1,4,94,3,1
8,1,94,1,1
56,1,91,5,6
3,1,91,1,5
3,3,90,7,5
13,6,90,19,1
1,1,89,3,56
67,4,89,26,1
5,3,88,1,94
1,76,88,14,17
4,1,88,2,1
4,1,86,1,5
47,8,86,30,1
1,3,84,2,2
4,3,82,4,7
19,1,81,1,20
4,4,77,10,1
28,3,76,5,28
1,2,76,12,2
3,3,76,1,2
1,6,75,1,29
5,7,75,1,1
1,1,75,11,1
5,114,74,2,57
3,1,74,3,6
6,1,74,1,1
11,1,72,1,2
13,2,68,5,54
18,1,68,1,12
378,1,66,1,117
1,3,66,1,12
1,26,66,1,1
1,92,65,7,417
1,2,65,25,130
2,2,65,1,5
8,1,65,6,4
3,8,63,1,97
1,4,63,1,4
18,1,63,4,1
4,20,63,1,1
