CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,1,2,27,1
3,42,6,11,1
2,24,205,16,2
2,23,1,1,123
18,1,1,1,245
1,19,1,2,1
22,2,102,1,2
13,1,62,1,2
4,1,3,10,307
1,5,3,1,2
6,8,44,1,508
1,13,6,2,3
1,26,1,1,1
15,28,38,1,1
1,15,137,1,8
23,2,52,1,78
28,7,1,1,42
1,2,30,7,11
1,1,86,42,10
5,7,1,150,72
1,1,1,111,3
1,1,60,81,36
2,11,1,75,4
1,20,5,58,1
32,55,89,1,2
12,17,188,19,114
1,1,130,15,19
2,6,1,1,3
6,340,35,1,2
56,168,15,6,1
12,3,1,1,1
2,1,1,1,1
8,4,105,1,12
11,1,219,1,3
1,6,3,5,1
1,4,4,3,1
1,1,33,3,5
1,1,65,10,1
1,1,2,4,4
4,1,3,1,6
2,1,12,1,1
2,1,164,9,9
85,18,4,11,6
1,2,2,6,1
10,67,85,5,1
11,8,39,1,25
130,60,22,5,2
2,4,1,7,2
62,22,37,1,3
5,1,59,1,4
23,6,4,2,1
145,6,2,1,157
61,30,4,2,1
1,1,39,1,1
1,2,55,2,2
28,1,40,5,23
18,1,1,7,7
6,12,1,1,6
15,3,3,1,3
8,111,3,14,1
4,1,1,11,1
1,10,5,7,1
130,1,2,2,40
26,69,198,1,2
1,4,11,1,4
3,12,1,3,1
17,1,15,1,139
16,1,2,3,2
6,1,409,9,32
54,3,1,14,125
17,1,1,37,1
1,2,2,46,1
43,5,36,1,5
6,3,133,1,2
1,4,1,1,45
34,14,2,1,1
39,3,9,1,9
6,3,31,1,1
19,76,4,2,2
1,111,1,4,1
1,1,23,2,3
4,5,303,1,3
192,26,210,1,2
1,5,1,1,890
35,1,32,3,2
2,28,57,25,375
1,1,1,9,1
2,3,95,4,1
1,10,1,8,1
6,5,4,6,166
2,9,16,2,3
5,15,52,1,18
182,237,1,14,3
1,2,251,3,1
2,180,274,5,1
21,300,2,2,1
6,14,1,2,48
41,1,1,1,489
2,4,34,1,2
7,34,77,15,10
2,5,231,12,14
1,10,2,39,2
3,1,58,35,687
23,14,322,16,2
12,37,4,2,39
6,4,5,1,1
8,9,1,1,2
3,2,7,7,2
1253,8,70,2,106
1,5,2,2,377
35,3,2,25,459
1,20,1,33,251
3,37,6,2,24
1,2,6,7,1
2,7,31,14,47
5,1,1,10,2
7,109,6,11,67
1,1,194,5,245
75,4,10,6,3
1,3,1,9,1
1,4,3,1,5
2,1,12,1,41
2,25,2,1,67
1,2,2,2,1
1,3,1,1,4
36,12,36,1,1
80,3,2,28,1
211,12,3,11,1
1,605,9,12,9
1,308,36,1,1
4,2,4,6,7
1,75,47,1,3
4,9,87,6,3
1,1,15,1,53
9,6,68,1,6
67,4,1,34,85
6,1,1,46,2
6,2,1,6,69
4,9,1,1,1
1,31,1,3,1
5,4,1,2,24
1,1,3,5,6
2,17,1,2,183
1,4,1,1,308
1,2,1,2,6
1,20,1,3,74
32,5,1,1,8
13,1,2,1,15
1,105,1,2,4
2,8,1,1,6
3,2,1,1,20
9,2,1,1,119
1,2,2,11,10
42,30,1,6,2
1,17,2,3,47
1,6,1,1,627
13,1,1,2,32
115,1,5,5,22
1,43,1,1,1
166,4,1,1,1
6,1,1,1,1
1,54,1,5,1
1,5,197,3,4
244,47,12,3,56
1,60,441,1,1
25,2,1,1,9
3,1,10,6,2
1,3,12,1,1
1,8,149,1,3
102,35,1,2,22
19,3,1,1,9
185,1,31,2,31
181,200,3,1,12
1,1,5,7,98
1,1,12,1,1
25,57,1,1,57
1,23,446,1,1
7,2,4,3,3
1,118,342,1,1
1,1,1,1,4
1,3,1,1,58
5,1,1,1,1
26,25,11,1,1
136,10,120,1,3
1,106,54,63,61
8,2,2,9,1
32,187,67,4,1
118,2,24,1,180
7,104,89,1,1
7,2,1,3,1
2,15,31,1,3
5,1,1,1,4
1,28,408,1,8
247,5,488,1,1
23,1,1,1,252
4,1,128,2,7
10,1,1,3,142
121,1,55,4,13
124,4,384,4,1
34,1,1,1,4
5,1,3,9,91
183,1,13,2,9
6,1,540,2,1
5,20,3,2,2
30,1,13,2,9
6,5,2,1,23
49,1,170,1,382
1,1,2,2,92
17,1,13,15,19
19,3,3,14,1
17,3,4,1,115
6,1,8,1,6
27,7,2,1,15
63,1,10,1,15
23,1,1,1,53
2,1,22,5,1
20,1,181,1,1
102,5,9,57,1
27,2,1,1,4
20,87,38,1,3
3,33,1,1,1
1,14,14,1,5
1,1,1,1,61
9,53,2,7,2
1,58,106,7,1
11,19,1,12,1
1,1,1,26,642
9,8,329,2,67
1,3,1,2,1
2,2,31,1,1
40,2,3,1,2
1,1,27,18,7
2,110,5,27,1
6,1,58,21,100
3,1,97,9,1
2,2,41,1,26
3,29,40,1,252
9,3,1,4,328
21,53,1,4,3
1,264,1,4,1
3,489,1,32,1
12,333,1,48,1
2,12,1,42,1
3,3,1,78,1
1,1,2,53,2
2,1,7,1,1
6,1,1,2,1
3,1,4,4,7
3,37,3,7,1
64,108,5,3,1
1,6,1,6,26
4,6,1,3,29
2,5,1,6,58
26,33,1,34,377
45,7,1,5,251
3,2,1,2,400
1,1,1,1,17
4,1,1,2,1
4,31,2,2,1
1744,12,1,3,204
1,5,5,2,1
21,8,1,3,355
108,22,1,2,21
9,3,4,1,7
1,7,1,4,14
2,9,1,1,2
8,3,1,1,2
1,95,1,2,5
1,3,2,1,17
1,7,1,1,55
2,21,1,6,1
1,1,1,2,1
2,12,1,1,3
3,37,1,26,103
1,15,144,22,4
1,1,65,13,29
1,4,6,2,6
1,5,308,1,2
1,1,1,4,1
1,5,24,4,1
3,660,2,11,1
1,382,5,2,110
1,5,5,1,25
27,98,1,2,4
1,3,244,1,20
1,23,1,5,7
2,2,1,6,1
19,13,37,1,1
1,2,8,1,1
1,49,338,1,1
4,9,8,3,12
2,76,1,1,18
2,1,7,1,1
1,28,2,7,4
1,5,379,5,5
1,13,7,6,353
1,34,91,1,3
2,15,2,4,1
1,5,643,22,9
1,1,54,19,16
1,3,291,7,182
1,3,32,18,2
1,2,182,1,9
1,67,46,8,1
1,2,1,1,1
2,1,1,1,1
1,8,435,23,7
1,36,493,55,1
1,2,165,30,1
1,23,2,15,185
11,1,25,8,4
2,6,1,1,4
1,73,1,2,1
14,32,37,12,1
200,3,456,10,8
488,1,4,11,1
4,13,1,13,1
6,1,1,8,10
25,1,83,1,1
4,23,1,1,1
2,1,7,3,1
35,1,2,1,1
9,180,238,3,30
26,4,22,1,443
10,5,5,1,4
13,2,1,2,3
2,7,1,5,1
3,2,1,8,2
1,10,1,1,5
2,1,3,2,1
1,11,156,1,561
3,3,16,1,14
9,108,15,4,8
1,3,17,1,24
1,9,1,4,6
1,16,2,1,2
25,42,7,1,5
1,2,2,1,272
3,38,8,1,11
1,22,3,1,1
13,1,384,1,26
3,1,1,6,239
50,36,1,9,284
4,1,118,1,217
5,195,5,1,2
2,39,1,1,13
54,2,83,1,1
70,6,1,1,3
2,13,2,3,2
761,58,28,2,1
15,2,2,1,3
1,2,85,1,2
